id,imdb_id,title,original_title,release_year,release_date,runtime_minutes,genres,production_companies,production_countries,spoken_languages,belongs_to_collection,popularity,vote_average,vote_count,budget,revenue,overview,tagline,status,original_language,adult,video,keywords,has_mpst_synopsis
12,tt0266543,Finding Nemo,Finding Nemo,2003,2003-05-30,100.0,"[""Animation"",""Family""]","[""Pixar Animation Studios""]","[""United States of America""]","[""English""]",Finding Nemo Collection,25.497794,7.6,6292,94000000,940335536,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.,Released,en,False,False,"[""father son relationship"",""harbor"",""underwater"",""fish tank"",""great barrier reef"",""missing child"",""aftercreditsstinger"",""duringcreditsstinger"",""short term memory loss"",""clownfish"",""father son reunion"",""protective father""]",True
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2003-07-09,143.0,"[""Adventure"",""Fantasy"",""Action""]","[""Walt Disney Pictures"",""Jerry Bruckheimer Films""]","[""United States of America""]","[""English""]",Pirates of the Caribbean Collection,47.326665,7.5,7191,140000000,655011224,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",Prepare to be blown out of the water.,Released,en,False,False,"[""exotic island"",""blacksmith"",""east india trading company"",""gold"",""marriage proposal"",""mutiny"",""jamaica"",""skeleton"",""daughter"",""governor"",""wooden eye"",""gold coin"",""pirate"",""alcoholic"",""swashbuckler"",""caribbean"",""aftercreditsstinger"",""pirate ship"",""capuchin monkey"",""tortuga""]",True
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006,2006-06-20,151.0,"[""Adventure"",""Fantasy"",""Action""]","[""Walt Disney Pictures"",""Jerry Bruckheimer Films"",""Second Mate Productions""]","[""United States of America""]","[""English"",""Türkçe"",""ελληνικά"",""普通话""]",Pirates of the Caribbean Collection,29.455314,7.0,5380,200000000,1065659812,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,Released,en,False,False,"[""witch"",""fortune teller"",""bondage"",""exotic island"",""monster"",""captain"",""card game"",""east india trading company"",""compass"",""ship"",""daughter"",""pirate"",""swashbuckler"",""aftercreditsstinger""]",True
97,tt0084827,Tron,Tron,1982,1982-07-09,96.0,"[""Science Fiction"",""Action"",""Adventure""]","[""Walt Disney Pictures"",""Lisberger/Kushner""]","[""United States of America""]","[""English""]",TRON Collection,16.574021,6.6,717,17000000,33000000,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.",A world inside the computer where man has never been.  Until now.,Released,en,False,False,"[""video game"",""hacker"",""virtual reality"",""dystopia"",""computer"",""science fiction""]",True
285,tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007,2007-05-19,169.0,"[""Adventure"",""Fantasy"",""Action""]","[""Walt Disney Pictures"",""Jerry Bruckheimer Films"",""Second Mate Productions""]","[""United States of America""]","[""English""]",Pirates of the Caribbean Collection,31.363664,6.9,4627,300000000,961000000,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",Released,en,False,False,"[""ocean"",""drug abuse"",""exotic island"",""east india trading company"",""love of one's life"",""traitor"",""shipwreck"",""strong woman"",""ship"",""alliance"",""calypso"",""afterlife"",""fighter"",""pirate"",""swashbuckler"",""aftercreditsstinger""]",True
332,tt0141369,Inspector Gadget,Inspector Gadget,1999,1999-07-23,78.0,"[""Action"",""Adventure"",""Comedy"",""Family""]","[""Walt Disney Pictures"",""Caravan Pictures"",""DiC Entertainment""]","[""United States of America""]","[""English"",""Norsk"",""Français"",""Español""]",Inspector Gadget Collection,11.677244,4.3,322,75000000,0,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",The greatest hero ever assembled.,Released,en,False,False,"[""gadget""]",True
404,tt0166896,The Straight Story,The Straight Story,1999,1999-10-15,112.0,"[""Drama""]","[""Walt Disney Pictures"",""Channel Four Films"",""Asymmetrical Productions"",""Les Films Alain Sarde"",""The Picture Factory"",""StudioCanal"",""Canal+"",""CiBy 2000"",""The Straight Story, Inc""]","[""United States of America""]","[""English""]",,14.580995,7.7,315,10000000,0,"""The Straight Story"" chronicles a trip made by 73-year-old Alvin Straight from Laurens, Iowa, to Mt. Zion, Wisconsin, in 1994 while riding a lawn mower. The man undertook his strange journey to mend his relationship with his ill, estranged, 75-year-old brother Lyle.",,Released,en,False,False,"[""brother brother relationship"",""mississippi"",""wisconsin"",""lawnmower"",""iowa"",""biography"",""based on true story"",""independent film"",""family relationships"",""family"",""road movie""]",True
585,tt0198781,"Monsters, Inc.","Monsters, Inc.",2001,2001-11-01,92.0,"[""Animation"",""Comedy"",""Family""]","[""Walt Disney Pictures"",""Pixar Animation Studios""]","[""United States of America""]","[""English""]","Monsters, Inc. Collection",26.419962,7.5,6150,115000000,562816256,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",We Scare Because We Care.,Released,en,False,False,"[""monster"",""infant"",""energy supply"",""company"",""rivalry"",""hijinks"",""best friend"",""scream"",""conveyor belt"",""energy company"",""friend""]",True
756,tt0032455,Fantasia,Fantasia,1940,1940-11-13,124.0,"[""Animation"",""Family"",""Music""]","[""Walt Disney Pictures""]","[""United States of America""]","[""English""]",Fantasia Collection,8.03796,7.2,831,2280000,83320000,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",The most sensational sound you'll ever see!,Released,en,False,False,"[""orchestra"",""classical music"",""musical segments""]",False
812,tt0103639,Aladdin,Aladdin,1992,1992-11-25,90.0,"[""Animation"",""Family"",""Comedy"",""Adventure"",""Fantasy"",""Romance""]","[""Walt Disney Pictures""]","[""United States of America""]","[""English""]",Aladdin Collection,16.357419,7.4,3495,28000000,504050219,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",Wish granted!,Released,en,False,False,"[""magic"",""musical"",""cartoon"",""princess"",""love"",""comedy"",""animation"",""monkey"",""arab"",""aftercreditsstinger"",""genie"",""animal sidekick""]",True
