id,title,imdb_id,transcript_found,transcript_source_file
12,Finding Nemo,tt0266543,True,Finding Nemo
22,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,False,
58,Pirates of the Caribbean: Dead Man's Chest,tt0383574,False,
97,Tron,tt0084827,True,TRON
285,Pirates of the Caribbean: At World's End,tt0449088,False,
332,Inspector Gadget,tt0141369,False,
404,The Straight Story,tt0166896,False,
585,"Monsters, Inc.",tt0198781,False,
756,Fantasia,tt0032455,False,
812,Aladdin,tt0103639,True,Aladdin
862,Toy Story,tt0114709,True,Toy Story
863,Toy Story 2,tt0120363,False,
920,Cars,tt0317219,False,
1267,Meet the Robinsons,tt0396555,False,
1865,Pirates of the Caribbean: On Stranger Tides,tt1298650,False,
2059,National Treasure,tt0368891,False,
2062,Ratatouille,tt0382932,False,
4244,The Kid,tt0219854,False,
4523,Enchanted,tt0461770,False,
6589,Underdog,tt0467110,False,
6637,National Treasure: Book of Secrets,tt0465234,False,
6878,Homeward Bound: The Incredible Journey,tt0107131,False,
8326,Holes,tt0311289,False,
8587,The Lion King,tt0110357,False,
8965,Atlantis: Milo's Return,tt0344864,False,
9016,Treasure Planet,tt0133240,False,
9021,The Santa Clause 2,tt0304669,False,
9036,Eight Below,tt0397313,False,
9325,The Jungle Book,tt0061852,False,
9438,Mr. Magoo,tt0119718,False,
9446,Jungle 2 Jungle,tt0119432,False,
9487,A Bug's Life,tt0120623,False,
9543,Prince of Persia: The Sands of Time,tt0473075,False,
9574,Flubber,tt0119137,False,
9732,The Lion King 2: Simba's Pride,tt0120131,False,
9806,The Incredibles,tt0317705,False,
9820,The Parent Trap,tt0120783,False,
9822,Mighty Joe Young,tt0120751,False,
9849,My Favorite Martian,tt0120764,False,
9880,The Princess Diaries,tt0247638,False,
9904,The Wild,tt0405469,False,
9918,Glory Road,tt0385726,False,
9948,The Fox and the Hound 2,tt0465997,False,
9982,Chicken Little,tt0371606,False,
9994,The Great Mouse Detective,tt0091149,False,
10020,Beauty and the Beast,tt0101414,False,
10022,The Pacifier,tt0395699,False,
10057,The Three Musketeers,tt0108333,False,
10067,The Shaggy Dog,tt0393735,False,
10122,Flight of the Navigator,tt0091059,False,
10144,The Little Mermaid,tt0097757,False,
10193,Toy Story 3,tt0435761,False,
10198,The Princess and the Frog,tt0780521,False,
10202,Bedtime Stories,tt0960731,False,
10249,The Rocketeer,tt0102803,False,
10330,Freaky Friday,tt0322330,False,
10437,The Muppet Christmas Carol,tt0104940,False,
10439,Hocus Pocus,tt0107120,False,
10481,102 Dalmatians,tt0211181,False,
10530,Pocahontas,tt0114148,False,
10539,James and the Giant Peach,tt0116683,False,
10545,The Hunchback of Notre Dame,tt0116583,False,
10567,Dinosaur,tt0130623,False,
10603,George of the Jungle,tt0119190,False,
10637,Remember the Titans,tt0210945,False,
10674,Mulan,tt0120762,True,Mulan
10681,WALL·E,tt0910970,False,
10756,The Haunted Mansion,tt0338094,False,
10865,Atlantis: The Lost Empire,tt0230011,False,
10869,Herbie Rides Again,tt0071607,False,
10874,Muppet Treasure Island,tt0117110,False,
10898,The Little Mermaid II: Return to the Sea,tt0240684,False,
10957,The Black Cauldron,tt0088814,False,
11130,The Princess Diaries 2: Royal Engagement,tt0368933,False,
11132,Confessions of a Teenage Drama Queen,tt0361467,False,
11135,The Rescuers Down Under,tt0100477,False,
11158,Honey I Blew Up the Kid,tt0104437,False,
11395,The Santa Clause,tt0111070,False,
11425,"Honey, We Shrunk Ourselves",tt0119310,False,
11430,The Lion King 1½,tt0318403,False,
11451,Herbie Fully Loaded,tt0400497,False,
11459,Sky High,tt0405325,False,
11544,Lilo & Stitch,tt0275847,False,
11652,Invincible,tt0445990,False,
11674,101 Dalmatians,tt0115433,False,
11688,The Emperor's New Groove,tt0120917,False,
11887,High School Musical 3: Senior Year,tt0962726,False,
11888,Snow Dogs,tt0281373,False,
11970,Hercules,tt0119282,False,
12155,Alice in Wonderland,tt1014759,False,
12227,White Fang,tt0103247,False,
12233,Oliver & Company,tt0095776,False,
12242,Mulan II,tt0279967,False,
12448,The Hunchback of Notre Dame II,tt0257778,False,
12559,First Kid,tt0116311,False,
13042,Presto,tt1245104,False,
13053,Bolt,tt0397892,False,
13060,Lifted,tt0945571,False,
13061,Your Friend the Rat,tt1134859,False,
13062,Boundin',tt0395479,False,
13179,Tinker Bell,tt0823671,False,
13374,Ice Princess,tt0396652,False,
13378,Mickey's Twice Upon a Christmas,tt0424279,False,
13380,One Magic Christmas,tt0089731,False,
13413,BURN·E,tt1334585,False,
13417,Kronk's New Groove,tt0401398,False,
13493,College Road Trip,tt0997047,False,
13654,101 Dalmatians II: Patch's London Adventure,tt0324941,False,
13680,The Game Plan,tt0492956,False,
13682,Pooh's Heffalump Movie,tt0407121,False,
13691,Piglet's Big Movie,tt0323642,False,
13700,Home on the Range,tt0299172,False,
13761,Pocahontas II: Journey to a New World,tt0143808,False,
13767,The Santa Clause 3: The Escape Clause,tt0452681,False,
13768,Tuck Everlasting,tt0283084,False,
13836,Race to Witch Mountain,tt1075417,False,
13850,Song of the South,tt0038969,False,
13924,The Adventures of André and Wally B.,tt0086855,False,
13925,Luxo Jr.,tt0091455,False,
13926,Red's Dream,tt0093832,False,
13927,Tin Toy,tt0096273,False,
13928,Knick Knack,tt0097674,False,
13929,Geri's Game,tt0131409,False,
13930,For the Birds,tt0248808,False,
13931,Mike's New Car,tt0323250,False,
13932,Jack-Jack Attack,tt0455565,False,
13933,One Man Band,tt0479113,False,
13934,Mater and the Ghostlight,tt0901686,False,
13962,Blank Check,tt0109287,False,
13965,Return to Snowy River,tt0095993,False,
14160,Up,tt1049413,True,Up
14405,Beverly Hills Chihuahua,tt1014775,False,
14635,The Rookie,tt0265662,False,
14819,Heavyweights,tt0110006,False,
14873,The Jungle Book 2,tt0283426,False,
14885,Pooh's Heffalump Halloween Movie,tt0457437,False,
15081,The Three Lives of Thomasina,tt0057579,False,
15300,Newsies,tt0104990,True,Newsies
15487,The Greatest Game Ever Played,tt0388980,False,
15655,The Tigger Movie,tt0220099,False,
15657,Tarzan II,tt0437503,False,
15789,A Goofy Movie,tt0113198,False,
15947,The Three Caballeros,tt0038166,False,
16084,Freaky Friday,tt0076054,False,
16508,Doug's 1st Movie,tt0187819,False,
16690,Return to Never Land,tt0280030,False,
17037,I'll Be Home for Christmas,tt0155753,False,
17979,A Christmas Carol,tt1067106,False,
18085,Roving Mars,tt0436595,False,
18126,Hannah Montana: The Movie,tt1114677,False,
18269,Lady and the Tramp II: Scamp's Adventure,tt0249677,False,
18357,The Country Bears,tt0276033,False,
18736,The Lizzie McGuire Movie,tt0306841,False,
19186,The Parent Trap,tt0055277,False,
19585,G-Force,tt0436339,False,
